role_key,anchor_term,polarity,language_code,note
hcp,physician,include,en,
hcp,medical doctor,include,en,
hcp,consultant physician,include,en,
hcp,general practitioner,include,en,
hcp,surgeon,include,en,
hcp,cardiologist,include,en,
hcp,oncologist,include,en,
hcp,radiologist,include,en,
hcp,anaesthetist,include,en,
hcp,paediatrician,include,en,
hcp,neurologist,include,en,
hcp,psychiatrist,include,en,
hcp,dentist,include,en,
hcp,registered nurse,include,en,
hcp,nurse practitioner,include,en,
hcp,midwife,include,en,
hcp,paramedic,include,en,
hcp,physiotherapist,include,en,
hcp,clinical psychologist,include,en,
hcp,specialist registrar,include,en,
hcp,attending physician,include,en,
hcp,resident physician,include,en,
hcp,clinical fellow,include,en,
hcp,principal investigator clinical trials,include,en,
hcp,clinical research scientist,include,en,
hcp,professor of medicine,include,en,
hcp,medical director,include,en,
hcp,chief medical officer,include,en,
hcp,arzt,include,de,
hcp,facharzt fur innere medizin,include,de,
hcp,oberarzt,include,de,
hcp,medecin,include,fr,
hcp,chirurgien,include,fr,
hcp,medico,include,es,
hcp,enfermera,include,es,
hcp,medico cirurgiao,include,pt,
hcp,kardiyolog,include,tr,
hcp,doktor ogretim uyesi tip,include,tr,
hcp,data consultant,exclude,en,yonetim danismanligi yanlis pozitifini engeller
hcp,it consultant,exclude,en,
hcp,digital transformation consultant,exclude,en,
hcp,management consultant,exclude,en,
hcp,software engineer,exclude,en,
hcp,veterinarian,exclude,en,hayvan sagligi - ayri rol olacak
hcp,medical writer,exclude,en,
hcp,medical sales representative,exclude,en,
pharmacist,pharmacist,include,en,
pharmacist,clinical pharmacist,include,en,
pharmacist,hospital pharmacist,include,en,
pharmacist,community pharmacist,include,en,
pharmacist,dispensing pharmacist,include,en,
pharmacist,chief pharmacist,include,en,
pharmacist,head of pharmacy,include,en,
pharmacist,pharmacy manager,include,en,
pharmacist,registered pharmacist,include,en,
pharmacist,industrial pharmacist,include,en,
pharmacist,pharmacy practice researcher,include,en,
pharmacist,apotheker,include,de,
pharmacist,pharmacien,include,fr,
pharmacist,farmaceutico,include,es,
pharmacist,eczaci,include,tr,
pharmacist,pharmacology professor,exclude,en,farmakolog eczaci degildir
pharmacist,pharmacologist,exclude,en,
pharmacist,pharmaceutical sales,exclude,en,
pharmacist,pharmacy student,exclude,en,
pharmacist,pharmacy technician,exclude,en,teknisyen ayri meslek
librarian,librarian,include,en,
librarian,academic librarian,include,en,
librarian,research librarian,include,en,
librarian,subject librarian,include,en,
librarian,liaison librarian,include,en,
librarian,medical librarian,include,en,
librarian,systems librarian,include,en,
librarian,cataloguing librarian,include,en,
librarian,electronic resources librarian,include,en,
librarian,collection development librarian,include,en,
librarian,scholarly communications librarian,include,en,
librarian,open access officer,include,en,
librarian,repository manager,include,en,
librarian,institutional repository coordinator,include,en,
librarian,information specialist,include,en,
librarian,information resources manager,include,en,
librarian,knowledge manager,include,en,
librarian,head of library services,include,en,
librarian,library director,include,en,
librarian,university librarian,include,en,
librarian,deputy librarian,include,en,
librarian,archivist,include,en,
librarian,bibliothekar,include,de,
librarian,fachreferent bibliothek,include,de,
librarian,bibliothecaire,include,fr,
librarian,bibliotecario,include,es,
librarian,bibliotecario documentalista,include,pt,
librarian,kutuphaneci,include,tr,
librarian,library assistant student,exclude,en,
librarian,library volunteer,exclude,en,
librarian,data librarian in a company,exclude,en,
researcher,research scientist,include,en,
researcher,senior research scientist,include,en,
researcher,principal investigator,include,en,
researcher,research fellow,include,en,
researcher,senior research fellow,include,en,
researcher,postdoctoral researcher,include,en,
researcher,postdoctoral research associate,include,en,
researcher,research associate,include,en,
researcher,research assistant,include,en,
researcher,staff scientist,include,en,
researcher,group leader,include,en,
researcher,laboratory head,include,en,
researcher,scientific researcher,include,en,
researcher,cnrs researcher,include,en,
researcher,wissenschaftlicher mitarbeiter,include,de,
researcher,doktorand,include,de,
researcher,chercheur,include,fr,
researcher,investigador,include,es,
researcher,pesquisador,include,pt,
researcher,arastirmaci,include,tr,
researcher,ogretim gorevlisi arastirma,include,tr,
researcher,market research analyst,exclude,en,
researcher,user research designer,exclude,en,
researcher,research administrator,exclude,en,
researcher,research nurse,exclude,en,hcp altinda degerlendirilir
researcher,phd student,exclude,en,ogrenci - ayri karar gerektirir
faculty_head,dean,include,en,
faculty_head,dean of faculty,include,en,
faculty_head,associate dean,include,en,
faculty_head,vice dean,include,en,
faculty_head,head of department,include,en,
faculty_head,department chair,include,en,
faculty_head,chair of department,include,en,
faculty_head,director of institute,include,en,
faculty_head,institute director,include,en,
faculty_head,school director,include,en,
faculty_head,head of school,include,en,
faculty_head,provost,include,en,
faculty_head,pro vice chancellor,include,en,
faculty_head,vice rector,include,en,
faculty_head,rector,include,en,
faculty_head,dekan,include,de,
faculty_head,institutsleiter,include,de,
faculty_head,doyen,include,fr,
faculty_head,decano,include,es,
faculty_head,dekan fakulte,include,tr,
faculty_head,bolum baskani,include,tr,
faculty_head,head of laboratory,exclude,en,lab yonetimi fakulte yonetimi degil
faculty_head,head of marketing,exclude,en,
faculty_head,project director,exclude,en,
faculty_head,clinical director,exclude,en,hcp administrator altinda
