role_key,match_type,match_value,detail_label,priority,note
hcp,title,\b(physician|surgeon|nurse|midwife|dentist|paramedic|physiotherapist|general practitioner|consultant|registrar|clinician|practitioner|attending|resident)\b,Practitioner,10,
hcp,title,\b(principal investigator|research fellow|research scientist|postdoc|clinical research|senior scientist|professor)\b,Researcher,20,
hcp,title,\b(director|head of|chief|manager|vp |vice president|officer)\b,Administrator,30,
hcp,org_type,Healthcare,Practitioner,90,fallback - saglik kurumunda calisiyorsa varsayilan
hcp,org_type,Education,Researcher,91,fallback
pharmacist,title,\b(hospital|clinical|ward|inpatient)\b,Hospital,10,
pharmacist,title,\b(community|retail|high street|pharmacy owner)\b,Community,20,
pharmacist,title,\b(industrial|regulatory|medical affairs|pharmacovigilance)\b,Industry,30,
pharmacist,org_type,Healthcare,Hospital,90,
pharmacist,org_type,Company,Industry,91,
pharmacist,org_type,Education,Academia,92,
librarian,org_type,Education,University,10,
librarian,org_type,Archive,National Library,11,
librarian,org_type,Healthcare,Hospital,12,
librarian,org_type,Government,Government,13,
librarian,org_type,Nonprofit,Research Institute,14,
librarian,org_type,Company,Corporate,15,
researcher,org_type,Education,University,10,
researcher,org_type,Facility,Research Institute,11,
researcher,org_type,Healthcare,Hospital,12,
researcher,org_type,Nonprofit,Research Institute,13,
researcher,org_type,Government,Government,14,
researcher,org_type,Company,Industry,15,
faculty_head,org_type,Education,University,10,
faculty_head,org_type,Healthcare,Hospital,11,
faculty_head,org_type,Facility,Research Institute,12,
faculty_head,org_type,Nonprofit,Research Institute,13,
