role_key,signal_type,pattern,degree_score,note
hcp,degree,\b(md|m d|mbbs|mbbch|mb chb|mbchb|bm bch|doctor of medicine|doctor of dental)\b,1.00,
hcp,degree,\b(bds|dds|dmd|doctor of dental surgery)\b,1.00,
hcp,degree,\b(bachelor of nursing|bsc nursing|msc nursing|registered nurse)\b,1.00,
hcp,degree,\b(do|doctor of osteopath|md phd)\b,1.00,
hcp,degree,\b(mph|master of public health)\b,0.60,
hcp,degree,\b(phd|doctor of philosophy)\b,0.30,klinik olmayan doktora zayif sinyal
hcp,department,\b(medicine|surgery|nursing|dentistry|pharmacy|clinical|cardiolog|oncolog|radiolog|neurolog|psychiatr|paediatr|pediatr)\w*,1.00,
hcp,department,\b(public health|biomedical|health science|life science)\w*,0.80,
pharmacist,degree,\b(pharmd|pharm d|bpharm|b pharm|mpharm|m pharm|bachelor of pharmacy|master of pharmacy|doctor of pharmacy)\b,1.00,
pharmacist,department,\b(pharmacy|pharmaceutical science|pharmaceutics)\b,1.00,
pharmacist,department,\b(pharmacolog|medicinal chemistry)\w*,0.60,
librarian,degree,\b(mlis|m l i s|mls|msc information|master of library|library and information science|information studies)\b,1.00,
librarian,department,\b(library|information science|information studies|archival studies)\b,1.00,
